"","Time","Product1","Product2","Label","Competidor"
"330",226,881190.934090007,8278053.03559812,"IC_LO","Competidor 1"
"331",227,789867.934090007,9419836.61321712,"IC_LO","Competidor 1"
"332",1,40087478,0,"Real","Competidor 2"
"333",2,43198724.25,0,"Real","Competidor 2"
"334",3,40884593.4,0,"Real","Competidor 2"
"335",4,42915201.6,0,"Real","Competidor 2"
"336",5,40878248.5,0,"Real","Competidor 2"
"337",6,45095990.5,0,"Real","Competidor 2"
"338",7,40817901,0,"Real","Competidor 2"
"339",8,44470101.2,0,"Real","Competidor 2"
"340",9,41516266.7,0,"Real","Competidor 2"
"341",10,45266247.8,0,"Real","Competidor 2"
"342",11,41438561.2,0,"Real","Competidor 2"
"343",12,43925497,0,"Real","Competidor 2"
"344",13,42205949,0,"Real","Competidor 2"
"345",14,45738068,0,"Real","Competidor 2"
"346",15,44280235.5,0,"Real","Competidor 2"
"347",16,45814207.3,0,"Real","Competidor 2"
"348",17,43930480.75,0,"Real","Competidor 2"
"349",18,47180493.9,0,"Real","Competidor 2"
"350",19,46125845.6,0,"Real","Competidor 2"
"351",20,47193013.95,0,"Real","Competidor 2"
"352",21,46714521,0,"Real","Competidor 2"
"353",22,47091164.5,0,"Real","Competidor 2"
"354",23,49272876.3,0,"Real","Competidor 2"
"355",24,51634436.55,0,"Real","Competidor 2"
"356",25,48350524.7,0,"Real","Competidor 2"
"357",26,52769548.1,0,"Real","Competidor 2"
"358",27,47535250.3,0,"Real","Competidor 2"
"359",28,46120367.9,0,"Real","Competidor 2"
"360",29,45250462.6,0,"Real","Competidor 2"
"361",30,47118017.36,0,"Real","Competidor 2"
"362",31,46092987.65,0,"Real","Competidor 2"
"363",32,48478282.1,0,"Real","Competidor 2"
"364",33,45760824.45,0,"Real","Competidor 2"
"365",34,46547175.9,0,"Real","Competidor 2"
"366",35,46427195.7,0,"Real","Competidor 2"
"367",36,47273826.45,0,"Real","Competidor 2"
"368",37,45088563.5,0,"Real","Competidor 2"
"369",38,46534934,0,"Real","Competidor 2"
"370",39,44206541.1,0,"Real","Competidor 2"
"371",40,46381140.16,0,"Real","Competidor 2"
"372",41,44752742.5,0,"Real","Competidor 2"
"373",42,46097868.35,0,"Real","Competidor 2"
"374",43,42028367.25,0,"Real","Competidor 2"
"375",44,42880532.15,0,"Real","Competidor 2"
"376",45,43132257.75,0,"Real","Competidor 2"
"377",46,42833543,0,"Real","Competidor 2"
"378",47,41861002.6,0,"Real","Competidor 2"
"379",48,40918209.05,0,"Real","Competidor 2"
"380",49,42593549.6,0,"Real","Competidor 2"
"381",50,42504668.7,0,"Real","Competidor 2"
"382",51,41893903.55,0,"Real","Competidor 2"
"383",52,39100872,0,"Real","Competidor 2"
"384",53,39290829.35,0,"Real","Competidor 2"
"385",54,41579139.8,0,"Real","Competidor 2"
"386",55,38657868.75,0,"Real","Competidor 2"
"387",56,40110406.45,0,"Real","Competidor 2"
"388",57,39141643.84,0,"Real","Competidor 2"
"389",58,42452000.3,0,"Real","Competidor 2"
"390",59,40102330,0,"Real","Competidor 2"
"391",60,40478897.25,0,"Real","Competidor 2"
"392",61,39118917.5,0,"Real","Competidor 2"
"393",62,43370512.1,0,"Real","Competidor 2"
"394",63,41354043,0,"Real","Competidor 2"
"395",64,49907284.3,0,"Real","Competidor 2"
"396",65,41756097,0,"Real","Competidor 2"
"397",66,39421183.25,0,"Real","Competidor 2"
"398",67,38557215,0,"Real","Competidor 2"
"399",68,41276300,0,"Real","Competidor 2"
"400",69,40614197,0,"Real","Competidor 2"
"401",70,44269845,0,"Real","Competidor 2"
"402",71,45900198.05,0,"Real","Competidor 2"
"403",72,44453790.6,0,"Real","Competidor 2"
"404",73,46099961.3,0,"Real","Competidor 2"
"405",74,47398211.94,0,"Real","Competidor 2"
"406",75,48825964.1,0,"Real","Competidor 2"
"407",76,48371270.3,0,"Real","Competidor 2"
"408",77,47579131.46,0,"Real","Competidor 2"
"409",78,45464239.3,0,"Real","Competidor 2"
"410",79,48589206,0,"Real","Competidor 2"
